Date;Revenue;Ebitda;Profit;Costs
30/09/2024;$25,182;$4,065;$4,997;$1,039
30/06/2024;$25,500;$2,883;$4,578;$1,074
31/03/2024;$21,301;$2,417;$3,696;$1,151
31/12/2023;$25,167;$3,296;$4,438;$1,094
30/09/2023;$23,350;$2,999;$4,178;$1,161
30/06/2023;$24,927;$3,553;$4,533;$943
31/03/2023;$23,329;$3,710;$4,511;$771
31/12/2022;$24,318;$4,890;$5,777;$810
30/09/2022;$21,454;$4,644;$5,382;$733
30/06/2022;$16,934;$3,386;$4,234;$667
31/03/2022;$18,756;$4,483;$5,460;$865
31/12/2021;$17,719;$3,461;$4,847;$740
30/09/2021;$13,757;$2,765;$3,660;$611
30/06/2021;$11,958;$1,993;$2,884;$576
31/03/2021;$10,389;$1,215;$2,215;$666
31/12/2020;$10,744;$1,193;$2,066;$522
30/09/2020;$8,771;$1,393;$2,063;$366
30/06/2020;$6,036;$894;$1,267;$279
31/03/2020;$5,985;$836;$1,234;$324
31/12/2019;$7,384;$798;$1,391;$345
30/09/2019;$6,303;$847;$1,191;$334
30/06/2019;$6,350;$454;$921;$324
31/03/2019;$4,541;$-14;$566;$340
31/12/2018;$7,226;$949;$1,443;$356
30/09/2018;$6,824;$965;$1,524;$351
30/06/2018;$4,002;$-101;$619;$386
31/03/2018;$3,409;$-141;$457;$367
31/12/2017;$3,288;$-98;$439;$355
30/09/2017;$2,985;$-142;$449;$332
30/06/2017;$2,790;$184;$667;$370
31/03/2017;$2,696;$151;$668;$322
31/12/2016;$2,285;$85;$435;$246
30/09/2016;$2,298;$394;$637;$214
30/06/2016;$1,270;$-34;$275;$192
31/03/2016;$1,147;$-71;$252;$182
31/12/2015;$1,214;$-90;$219;$190
30/09/2015;$937;$-56;$231;$179
30/06/2015;$955;$-63;$213;$182
31/03/2015;$940;$-7;$260;$167
31/12/2014;$957;$7;$262;$140
30/09/2014;$852;$49;$252;$136
30/06/2014;$769;$50;$213;$108
31/03/2014;$621;$9;$155;$82
31/12/2013;$615;$28;$157;$68
30/09/2013;$431;$2;$103;$56
30/06/2013;$405;$18;$100;$52
31/03/2013;$562;$12;$96;$55
31/12/2012;$306;$-78;$24;$69
30/09/2012;$50;$-101;$-9;$62
30/06/2012;$27;$-102;$5;$75
31/03/2012;$30;$-85;$10;$68
31/12/2011;$39;$-76;$8;$61
30/09/2011;$58;$-60;$17;$54
30/06/2011;$58;$-54;$19;$53
31/03/2011;$49;$-44;$18;$41
31/12/2010;$36;$-49;$11;$38
30/09/2010;$31;$-35;$9;$27
30/06/2010;$28;$-29;$6;$15
31/03/2010;$21;$-24;$4;$13
31/12/2009;$15;$-10;$6;$3
30/09/2009;$46;$-2;$8;$1
30/06/2009;$27;$-8;$2;$2